record_id,score_x,score_y,score_z,multi,malf,good_drop,multi_drop,other_drop,fmin_x,fmin_y,fmin_z,processed,investigate
20130816_023147_OHSS_20,0.0,0.0,0.0,True,False,False,False,False,0.0,0.0,0.0,True,False
20161113_113235_TOKS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20121207_181949_OTKS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20091122_224727_DSZ,1.0,1.0,1.0,False,False,True,False,False,0.6,0.5,0.7,True,False
20120101_164505_KPOC,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20100909_074236_OXZ,0.0,0.0,0.0,True,False,False,False,False,0.0,0.0,0.0,True,False
20151230_195136_TOTS_20,,,,False,False,False,True,False,,,,True,False
20120927_200954_PWES_20,,,,False,False,False,True,False,,,,True,False
20120927_200922_FAIS_20,0.0,0.0,0.0,True,False,False,False,False,0.0,0.0,0.0,True,False
20130216_051656_OPCS_20,0.0,0.0,0.0,False,False,False,False,True,0.0,0.0,0.0,True,False
20161113_110432_PNRS_20,1.0,1.0,1.0,False,False,True,False,False,0.1,0.1,0.1,True,False
20161113_110318_WCSS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20161113_110317_DFHS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20161113_110422_WPWS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20100903_163541_SBRC,1.0,1.0,0.75,False,False,False,False,False,0.1,0.1,0.1,True,False
20140120_025307_WAZ_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20070930_094751_MLZ,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20150424_033708_BOWS_20,1.0,1.0,0.75,False,False,False,False,False,0.2,0.1,0.2,True,False
20161113_115314_IFPS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20130721_051006_TSZ_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20121207_181940_GKBS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20121207_181942_GWTS_20,1.0,0.75,0.75,False,False,False,False,False,0.1,0.1,0.1,True,False
20121207_181947_EKTS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.3,True,False
20121207_181937_THHS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20121207_181939_WFSS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20120703_103615_WDPS,1.0,1.0,1.0,False,False,False,False,False,0.2,0.1,0.2,True,False
20120703_103615_LNBS,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20120703_103615_MAVS,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.3,True,False
20120703_103615_MTHZ,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20181030_021425_BWRS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20120703_103615_SPRS,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20100801_072503_BFZ,,,,False,False,False,True,False,,,,True,False
20100801_072503_HAZ,1.0,1.0,1.0,False,False,False,False,False,0.4,0.3,0.5,True,False
20100801_072503_MXZ,1.0,1.0,1.0,False,False,True,False,False,0.5,0.5,0.3,True,False
20091122_224727_KUZ,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20090909_103304_MXZ,1.0,1.0,1.0,False,False,False,False,False,0.2,0.5,0.4,True,False
20090909_103304_MWZ,1.0,1.0,1.0,False,False,False,False,False,0.3,0.3,0.5,True,False
20091025_075352_QRZ,1.0,1.0,1.0,False,False,False,False,False,0.3,0.3,0.4,True,False
20110729_074223_SEVS,1.0,1.0,0.25,False,False,False,False,False,0.6,0.5,0.8,True,False
20110729_074223_QRZ,1.0,1.0,1.0,False,False,False,False,False,0.5,0.8,0.5,True,False
20110613_010100_MAYC,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20161113_132143_QRZ_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20161113_153318_FKPS_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.2,True,False
20081219_002105_BFZ,1.0,1.0,1.0,False,False,False,False,False,0.2,0.3,0.2,True,False
20110118_084546_OXZ,1.0,1.0,1.0,False,False,False,False,False,0.5,0.5,0.3,True,False
20140606_034718_EKS3_20,1.0,1.0,1.0,False,False,False,False,False,0.3,0.1,0.2,True,False
20110106_064158_OXZ,1.0,1.0,1.0,False,False,False,False,False,1.0,0.5,1.4,True,False
20031106_090605_WEL,1.0,1.0,1.0,False,False,False,False,False,0.6,0.6,1.0,True,False
20091213_212149_PXZ,1.0,1.0,1.0,False,False,False,False,False,0.6,0.8,0.9,True,False
20100121_211706_DSZ,1.0,1.0,1.0,False,False,False,False,False,1.1,1.0,1.1,True,False
20161122_193905_HNPS_20,1.0,1.0,1.0,False,False,False,False,False,0.3,0.2,0.3,True,False
20111103_050158_DUWZ,1.0,1.0,1.0,False,False,False,False,False,1.0,1.1,1.0,True,False
20110811_011341_QRZ,0.25,0.0,0.5,False,False,False,False,False,0.9,1.5,1.1,True,False
20100710_230422_HAZ,1.0,1.0,1.0,False,False,False,False,False,0.4,0.6,0.4,True,False
20100630_043102_BFZ,1.0,1.0,1.0,False,False,False,False,False,0.3,0.5,0.4,True,False
20100909_074236_MQZ,1.0,1.0,1.0,False,False,False,False,False,3.5,4.0,5.0,True,False
20170622_105525_NSBS_21,1.0,1.0,0.75,False,False,False,False,False,0.5,0.6,0.6,True,False
20110624_044951_SWNC,1.0,1.0,1.0,False,False,False,False,False,0.4,0.3,0.5,True,False
20070303_215912_MANS,1.0,1.0,1.0,False,False,False,False,False,0.7,0.8,1.5,True,False
20140512_003022_NEWS_20,1.0,1.0,1.0,False,False,False,False,False,1.0,1.0,1.0,True,False
20111223_035014_STKS,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20111223_032207_HALS,1.0,1.0,1.0,False,False,False,False,False,0.7,0.7,1.0,True,False
20110806_124014_NNZ,1.0,1.0,1.0,False,False,False,False,False,0.6,0.4,0.6,True,False
20081109_032508_JCZ,1.0,1.0,1.0,False,False,False,False,False,0.6,0.6,0.2,True,False
20040606_220440_SNZO,1.0,1.0,1.0,False,False,False,False,False,0.7,1.0,1.5,True,False
20101225_115940_DSZ,1.0,1.0,1.0,False,False,False,False,False,0.3,0.6,0.6,True,False
20080317_142239_LHBS,1.0,1.0,1.0,False,False,False,False,False,1.0,1.0,1.0,True,False
20090910_150445_BFZ,1.0,1.0,1.0,False,False,False,False,False,1.0,1.3,1.3,True,False
20081210_103530_MXZ,1.0,0.75,0.75,False,False,False,False,False,1.0,1.0,0.9,True,False
20090218_101922_PXZ,1.0,1.0,1.0,False,False,False,False,False,0.8,1.0,1.0,True,False
20180308_121831_GKBS_20,1.0,1.0,1.0,False,False,False,False,False,0.6,0.3,0.4,True,False
20100711_165839_QRZ,1.0,1.0,1.0,False,False,False,False,False,5.0,4.0,5.0,True,False
20090305_234644_MWZ,1.0,1.0,1.0,False,False,False,False,False,0.4,0.4,0.3,True,False
20080807_102446_MWZ,1.0,1.0,1.0,False,False,False,False,False,0.7,0.5,0.6,True,False
20100418_221626_HAZ,1.0,1.0,1.0,False,False,False,False,False,0.5,0.5,0.7,True,False
20111108_111514_TCW,1.0,1.0,0.75,False,False,False,False,False,1.5,1.0,3.0,True,False
20120109_190331_QRZ,1.0,1.0,1.0,False,False,False,False,False,0.4,1.1,0.9,True,False
20120109_190331_TCW,1.0,1.0,1.0,False,False,False,False,False,1.0,1.0,1.4,True,False
20120109_190331_BFZ,1.0,1.0,1.0,False,False,False,False,False,1.0,1.0,1.2,True,False
20060729_205053_PGFS,1.0,1.0,1.0,False,False,False,False,False,2.0,4.0,3.0,True,False
20120109_190331_HAZ,1.0,0.0,1.0,False,False,False,False,False,0.7,3.0,1.4,True,False
20180128_235629_NEWS_20,1.0,1.0,1.0,False,False,False,False,False,0.3,0.2,0.3,True,False
20180622_051713_WBFS_20,1.0,1.0,1.0,False,False,False,False,False,0.7,0.6,0.7,True,False
20161128_154756_HSES_20,1.0,1.0,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20180710_102335_FGPS_20,1.0,0.5,0.0,False,False,False,False,False,1.0,1.0,1.6,True,False
20180708_234346_HSES_20,1.0,1.0,1.0,False,False,False,False,False,0.3,0.3,0.2,True,False
20171209_064417_KIKS_20,1.0,1.0,1.0,False,False,False,False,False,0.2,0.2,0.4,True,False
20121009_225138_HSES_20,1.0,0.5,0.25,False,False,False,False,False,0.5,0.4,0.4,True,False
20121009_225137_MTHS_20,1.0,1.0,1.0,False,False,False,False,False,0.3,0.1,0.1,True,False
20121009_225128_AKSS_20,1.0,1.0,1.0,False,False,False,False,False,0.4,0.3,0.4,True,False
20120317_130519_TRTS,1.0,0.75,0.25,False,False,False,False,False,0.9,0.8,1.0,True,False
20120927_200915_GKBS_20,0.0,0.0,0.0,False,True,False,False,False,0.8,0.9,0.9,True,False
20120317_130519_NEWS,1.0,1.0,1.0,False,False,False,False,False,0.7,0.4,0.5,True,False
20120927_200905_RTZ_20,1.0,1.0,1.0,False,False,False,False,False,0.5,0.7,0.7,True,False
20120317_130519_POKS,1.0,1.0,1.0,False,False,False,False,False,0.8,0.9,1.0,True,False
20120317_130519_OPSS,1.0,1.0,1.0,False,False,False,False,False,0.5,0.1,0.9,True,False
20100903_163541_MECS,0.75,0.75,0.5,False,False,False,False,False,0.1,0.1,0.1,True,False
20161122_002005_NCHS_20,0.75,1.0,0.75,False,False,False,False,False,0.1,0.1,0.1,True,False
20121207_181943_DVHS_20,0.75,1.0,1.0,False,False,False,False,False,0.1,0.1,0.4,True,False
20121207_181933_RPCS_20,0.75,0.75,0.75,False,False,False,False,False,0.1,0.1,0.3,True,False
20181030_021411_INHS_21,0.75,0.75,1.0,False,False,False,False,False,0.1,0.1,0.1,True,False
20120703_103615_KFHS,0.75,0.75,0.75,False,False,False,False,False,0.1,0.1,0.1,True,False
20100801_072503_MWZ,0.75,1.0,1.0,False,False,False,False,False,0.4,0.3,0.3,True,False
20100801_072503_PXZ,0.75,0.75,0.75,False,False,False,False,False,0.5,0.5,0.5,True,False
20091122_224727_URZ,0.75,1.0,1.0,False,False,False,False,False,0.2,0.2,0.2,True,False
20091122_224727_MSZ,,,,False,False,False,True,False,,,,True,False
20100320_140049_WEL,0.75,0.75,0.75,False,False,False,False,False,1.0,0.9,0.7,True,False
20110729_074223_OXZ,0.75,0.75,1.0,False,False,False,False,False,0.5,0.4,0.5,True,False
20110221_105752_OXZ,0.75,0.75,1.0,False,False,False,False,False,0.3,0.1,0.1,True,False
20130816_023745_FKPS_20,0.75,0.75,0.75,False,False,False,False,False,0.4,0.4,0.1,True,False
20110705_033625_WKZ,0.75,0.75,0.75,False,False,False,False,False,0.5,0.4,0.3,True,False
20050313_150813_NLMS,0.75,1.0,1.0,False,False,False,False,False,0.2,0.1,0.4,True,False
